what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1369485031072
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1369485031072
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1369485031072
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1369485031072
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1369485031072
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1369485031072
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1369485031072
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1369485031072
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1369485031072
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1369485031072
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1369485031072
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1369485031072
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1369485031072
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1369485031072
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1369485031072
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1369485031072
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1369485031072
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1369485031072
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1369485031072
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1369485031072
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1369485031072
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1369485031072
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1369485031072
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1369485031072
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1369485031072
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1369485031072
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1369485031072
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1369485031072
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.100.I20120427-0800,"org.eclipse.equinox.weaving.aspectj",1369485031072
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1369485031072
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1369485031072
started,bundle,org.scala-ide.sdt.aspects,3.0.0.v-2_10-201303191346-dac2f1c,"org.scala-ide.sdt.aspects",1369485031072
started,bundle,org.scala-ide.sdt.core,3.0.0.v-2_10-201303191346-dac2f1c,"org.scala-ide.sdt.core",1369485031072
started,bundle,org.infinitest.eclipse,5.1.108,"org.infinitest.eclipse",1369485031072
os,sysinfo,,,"macosx",1369485031075
arch,sysinfo,,,"x86_64",1369485031075
ws,sysinfo,,,"cocoa",1369485031075
locale,sysinfo,,,"en_US",1369485031075
processors,sysinfo,,,"8",1369485031075
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1369485031075
java.runtime.version,sysinfo,,,"1.6.0_45-b06-451-11M4406",1369485031075
java.specification.name,sysinfo,,,"Java Platform API Specification",1369485031075
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1369485031075
java.specification.version,sysinfo,,,"1.6",1369485031075
java.vendor,sysinfo,,,"Apple Inc.",1369485031075
java.version,sysinfo,,,"1.6.0_45",1369485031075
java.vm.info,sysinfo,,,"mixed mode",1369485031075
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1369485031075
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1369485031075
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1369485031075
java.vm.specification.version,sysinfo,,,"1.0",1369485031075
java.vm.vendor,sysinfo,,,"Apple Inc.",1369485031075
java.vm.version,sysinfo,,,"20.45-b01-451",1369485031075
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1369485031078
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1369485031155
